Time,bit-x,bitfinex,bitstamp,btce,coinbase,itbit,lakebtc,mtgox,okcoin,others
2013-06-18 00:00:00 UTC,,6069.10417774,10874.74329689,7483.77464698999,,,,60446.3058748199,,1282.72091194
2013-06-19 00:00:00 UTC,,2830.34656024,5483.53573255,4138.53332838,,,,17420.99530697,,691.93960837
2013-06-20 00:00:00 UTC,,5580.15645347,9088.52547567,4228.72819700999,,,,42909.5304655202,,1451.78784591
2013-06-21 00:00:00 UTC,,5584.19399546,12331.66300099,6452.20506264999,,,,37916.61331617,,1870.62234399
2013-06-22 00:00:00 UTC,,1390.41839215,3350.32557131,5035.66531329,,,,7196.64828927,,590.40778876
2013-06-23 00:00:00 UTC,,796.29810476,1977.39270619,4160.24652717,,,,10974.21215455,,371.33373234
2013-06-24 00:00:00 UTC,,2801.04700209,9702.68839049004,6801.82071337999,,,,28755.72057729,,1138.87291228
2013-06-25 00:00:00 UTC,,3395.16434416,5294.05179614,5076.45554650999,,,,93495.8671820799,,1523.9148179099998
2013-06-26 00:00:00 UTC,,1466.12790174,4940.40777894,1075.49290688,,,,13074.00919462,,1161.7556000099999
2013-06-27 00:00:00 UTC,,1085.47473304,4937.41675442,2002.84615135,,,,14516.4612223,,1019.4875935800001
2013-06-28 00:00:00 UTC,,7594.03228208,18270.52705291,5854.43421342,,,,47455.08828225,,1979.3525428599999
2013-06-29 00:00:00 UTC,,1766.18636146,2913.08571673,1961.94650387,,,,25419.62604578,,1121.18541677
2013-06-30 00:00:00 UTC,,525.54269882,2390.67441288,2627.34048624,,,,8488.31723474,,773.50496338
2013-07-01 00:00:00 UTC,,10021.30520817,20854.46869197,12047.90700414,,,,52796.1989521701,,1739.88424136
2013-07-02 00:00:00 UTC,,3732.32847998,12666.39148742,5837.88463004,,,,27396.38243066,,1445.0495065599998
2013-07-03 00:00:00 UTC,,8688.243453,20740.88552523,9390.50863309,,,,73017.0637194903,,2530.6292012699996
2013-07-04 00:00:00 UTC,,7081.44839216,21867.03987827,13271.75616892,,,,63440.37084249,,2532.14859979
2013-07-05 00:00:00 UTC,,13816.96117611,32935.36592906,16861.11934033,,,,90767.5308438001,,1285.08790422
2013-07-06 00:00:00 UTC,,10426.96530785,17245.95828177,7480.04044194,,,,40793.4213841701,,1557.62862483
2013-07-07 00:00:00 UTC,,4403.96884005,6858.52231849,5067.87016935,,,,42847.0181780701,,1176.45013318
2013-07-08 00:00:00 UTC,,8789.76770627,18669.57799992,9204.39460815,,,,58514.6413501901,,2449.37502103
2013-07-09 00:00:00 UTC,,7041.32536101,15852.50987748,6292.31062521999,,,,32217.39709744,,1694.51393183
2013-07-10 00:00:00 UTC,,10374.85241819,26873.36211818,8955.3111831,,,,59672.70817379,,1806.3556618500002
2013-07-11 00:00:00 UTC,,7510.96612628,17097.50298731,6929.11144220999,,,,35244.0091198501,,1310.66676751
2013-07-12 00:00:00 UTC,,15077.54108663,31892.95485135,14153.92695065,,,,101213.45320007,,2222.14968984
2013-07-13 00:00:00 UTC,,4116.22796885,5881.31376759,5839.72549895,,,,34261.15175462,,1179.02696073
2013-07-14 00:00:00 UTC,,2380.35140135,5199.33822891,2194.8141873,,,,12218.46730597,,419.7606441
2013-07-15 00:00:00 UTC,,5898.45713615,12908.32964277,4867.27931627,,,,34121.7421857301,,1222.40093049
2013-07-16 00:00:00 UTC,,2092.35853054,8739.08955997,3557.79545795,,,,15900.42627769,,1205.32163409
2013-07-17 00:00:00 UTC,,2046.72746749,7342.03087599,3163.37156953,,,,16680.42435808,,1181.51740141
2013-07-18 00:00:00 UTC,,7708.7348326,21361.62417427,6948.20590052999,,,,58919.25203991,,2126.11722336
2013-07-19 00:00:00 UTC,,4794.18316172,8689.960752,2941.53158431,,,,26957.54732676,,1562.92118502
2013-07-20 00:00:00 UTC,,1301.92237319,4451.38261698,1721.87595945,,,,9066.00458489,,842.42392335
2013-07-21 00:00:00 UTC,,2113.51241199,2906.1967453,1574.07123109,,,,8614.05186903,,538.1773355600001
2013-07-22 00:00:00 UTC,,1354.67793009,7664.91469104,1778.81576261,,,,8215.90226022,,1793.9773653
2013-07-23 00:00:00 UTC,,3368.91523393,12818.86424731,3695.75799792,,,,23790.4206968,,1905.60950851
